,name,pic1,pic2,path_x1_1,path_x2_1,path_x3_1,path_x4_1,path_x1_2,path_x2_2,path_x3_2,path_x4_2,rec_x1,rec_x2,rec_x3,rec_x4
0,Abel_Pacheco,1,4,dataset/lfw_funneled/Abel_Pacheco/Abel_Pacheco_0001.jpg,dataset/output_x2/Abel_Pacheco_0001_result.jpg,dataset/output_x3/Abel_Pacheco_0001_result.jpg,dataset/output_x4/Abel_Pacheco_0001_result.jpg,dataset/lfw_funneled/Abel_Pacheco/Abel_Pacheco_0004.jpg,dataset/output_x2/Abel_Pacheco_0004_result.jpg,dataset/output_x3/Abel_Pacheco_0004_result.jpg,dataset/output_x4/Abel_Pacheco_0004_result.jpg,True,True,True,True
1,Akhmed_Zakayev,1,2,dataset/lfw_funneled/Akhmed_Zakayev/Akhmed_Zakayev_0001.jpg,dataset/output_x2/Akhmed_Zakayev_0001_result.jpg,dataset/output_x3/Akhmed_Zakayev_0001_result.jpg,dataset/output_x4/Akhmed_Zakayev_0001_result.jpg,dataset/lfw_funneled/Akhmed_Zakayev/Akhmed_Zakayev_0002.jpg,dataset/output_x2/Akhmed_Zakayev_0002_result.jpg,dataset/output_x3/Akhmed_Zakayev_0002_result.jpg,dataset/output_x4/Akhmed_Zakayev_0002_result.jpg,True,True,True,True
2,Akhmed_Zakayev,1,3,dataset/lfw_funneled/Akhmed_Zakayev/Akhmed_Zakayev_0001.jpg,dataset/output_x2/Akhmed_Zakayev_0001_result.jpg,dataset/output_x3/Akhmed_Zakayev_0001_result.jpg,dataset/output_x4/Akhmed_Zakayev_0001_result.jpg,dataset/lfw_funneled/Akhmed_Zakayev/Akhmed_Zakayev_0003.jpg,dataset/output_x2/Akhmed_Zakayev_0003_result.jpg,dataset/output_x3/Akhmed_Zakayev_0003_result.jpg,dataset/output_x4/Akhmed_Zakayev_0003_result.jpg,True,True,True,True
3,Akhmed_Zakayev,2,3,dataset/lfw_funneled/Akhmed_Zakayev/Akhmed_Zakayev_0002.jpg,dataset/output_x2/Akhmed_Zakayev_0002_result.jpg,dataset/output_x3/Akhmed_Zakayev_0002_result.jpg,dataset/output_x4/Akhmed_Zakayev_0002_result.jpg,dataset/lfw_funneled/Akhmed_Zakayev/Akhmed_Zakayev_0003.jpg,dataset/output_x2/Akhmed_Zakayev_0003_result.jpg,dataset/output_x3/Akhmed_Zakayev_0003_result.jpg,dataset/output_x4/Akhmed_Zakayev_0003_result.jpg,True,True,True,True
4,Amber_Tamblyn,1,2,dataset/lfw_funneled/Amber_Tamblyn/Amber_Tamblyn_0001.jpg,dataset/output_x2/Amber_Tamblyn_0001_result.jpg,dataset/output_x3/Amber_Tamblyn_0001_result.jpg,dataset/output_x4/Amber_Tamblyn_0001_result.jpg,dataset/lfw_funneled/Amber_Tamblyn/Amber_Tamblyn_0002.jpg,dataset/output_x2/Amber_Tamblyn_0002_result.jpg,dataset/output_x3/Amber_Tamblyn_0002_result.jpg,dataset/output_x4/Amber_Tamblyn_0002_result.jpg,True,True,True,True
5,Anders_Fogh_Rasmussen,1,3,dataset/lfw_funneled/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0001.jpg,dataset/output_x2/Anders_Fogh_Rasmussen_0001_result.jpg,dataset/output_x3/Anders_Fogh_Rasmussen_0001_result.jpg,dataset/output_x4/Anders_Fogh_Rasmussen_0001_result.jpg,dataset/lfw_funneled/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0003.jpg,dataset/output_x2/Anders_Fogh_Rasmussen_0003_result.jpg,dataset/output_x3/Anders_Fogh_Rasmussen_0003_result.jpg,dataset/output_x4/Anders_Fogh_Rasmussen_0003_result.jpg,True,True,True,True
6,Anders_Fogh_Rasmussen,1,4,dataset/lfw_funneled/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0001.jpg,dataset/output_x2/Anders_Fogh_Rasmussen_0001_result.jpg,dataset/output_x3/Anders_Fogh_Rasmussen_0001_result.jpg,dataset/output_x4/Anders_Fogh_Rasmussen_0001_result.jpg,dataset/lfw_funneled/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0004.jpg,dataset/output_x2/Anders_Fogh_Rasmussen_0004_result.jpg,dataset/output_x3/Anders_Fogh_Rasmussen_0004_result.jpg,dataset/output_x4/Anders_Fogh_Rasmussen_0004_result.jpg,True,True,True,True
7,Anders_Fogh_Rasmussen,3,4,dataset/lfw_funneled/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0003.jpg,dataset/output_x2/Anders_Fogh_Rasmussen_0003_result.jpg,dataset/output_x3/Anders_Fogh_Rasmussen_0003_result.jpg,dataset/output_x4/Anders_Fogh_Rasmussen_0003_result.jpg,dataset/lfw_funneled/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0004.jpg,dataset/output_x2/Anders_Fogh_Rasmussen_0004_result.jpg,dataset/output_x3/Anders_Fogh_Rasmussen_0004_result.jpg,dataset/output_x4/Anders_Fogh_Rasmussen_0004_result.jpg,True,True,True,True
8,Angela_Bassett,1,2,dataset/lfw_funneled/Angela_Bassett/Angela_Bassett_0001.jpg,dataset/output_x2/Angela_Bassett_0001_result.jpg,dataset/output_x3/Angela_Bassett_0001_result.jpg,dataset/output_x4/Angela_Bassett_0001_result.jpg,dataset/lfw_funneled/Angela_Bassett/Angela_Bassett_0002.jpg,dataset/output_x2/Angela_Bassett_0002_result.jpg,dataset/output_x3/Angela_Bassett_0002_result.jpg,dataset/output_x4/Angela_Bassett_0002_result.jpg,True,True,True,True
9,Angela_Bassett,1,3,dataset/lfw_funneled/Angela_Bassett/Angela_Bassett_0001.jpg,dataset/output_x2/Angela_Bassett_0001_result.jpg,dataset/output_x3/Angela_Bassett_0001_result.jpg,dataset/output_x4/Angela_Bassett_0001_result.jpg,dataset/lfw_funneled/Angela_Bassett/Angela_Bassett_0003.jpg,dataset/output_x2/Angela_Bassett_0003_result.jpg,dataset/output_x3/Angela_Bassett_0003_result.jpg,dataset/output_x4/Angela_Bassett_0003_result.jpg,True,True,True,True
